Ajtók száma,Body Type,CO2-kibocsátás,Csomagtér térfogata,Dimensions and Weight,Első terepszög,Engine and Transmission,Equipment,Fordulási kör átmérője,General Information,Gumiméret,Gyorsulás 0-ról 100 km/h-ra,Gyártási időszak,Hajtás,Hasmagasság,Hasznos teher,Hengerek száma,Hengerelrendezés,Hengerűrtartalom,Hosszúság,Hátsó terepszög,Kategória,Kivitel,Környezetvédelmi osztály,Magasság,Maximális forgatónyomaték,Maximális teljesítmény,Országúti fogyasztás,Performance,Rámpaszög,Saját tömeg,Sebességváltó,Szállítható személyek száma,Szélesség,Tengelytáv,Vegyes fogyasztás,Városi fogyasztás,Végsebesség,Össztömeg,Újkori ára,Üzemanyag,Üzemanyagtank
3 ajtó,Not available,153 g/km,364 l,Not available,Not available,Not available,"Csomagtérháló, Elektromos ablakemelők elöl, Fejtámlák elöl-hátul [4 db],, Fékrendszer: blokkolásgátló fékrendszer [ABS], , Fordulatszámmérő, Gyermekülés előkészítés [ISOFIX], Indításblokkolás, Információs rendszer: fedélzeti számítógép, Keréktárcsák: 15'-os, Kormánykerék: magasság-és távolságállítású, Külső visszapillantó tükrök elektromosan állíthatók és fűthetők, Légkondícionáló berendezés [AC],, Légzsák a vezető-és utasoldalon, oldallégzsákok elöl, ,, Mikrofilter [por-és pollenszűrő], , kormányoszlopról vezérelhető rádió, Sebességváltómű: 5 fokozatú mechanikus, Szélvédőüveg: speciális fényvisszaverő,, Szervokormánymű: sebességfüggő, , Színezett üvegek, Ülés alatti tárolórekeszek elöl, Ülések hátul: csúsztatható és osztottan dönthető, Változtatható belső kiegészítő elemek, Vészhárítók és külső tükrök a karosszéria színében, Világítás: ködfényszórók elöl, Ülések: állítható magasságú vezetőülés, előredönthető utasülés",Not available,Not available,185/60 R15,"14,4 s",2005-2007,Első kerék,Not available,339 kg,4 henger,Soros,1 360 cm³,3 731 mm,Not available,Kisautók,Ferdehátú,EURO 4,1 620 mm,118 Nm,"54 kW, 73 LE","5,3 l/100km",Not available,Not available,1 215 kg,Manuális (5 fokozatú) sebességváltó,4 fő,1 686 mm,2 315 mm,"6,5 l/100km","8,6 l/100km",165 km/h,1 554 kg,3 730 000 Ft,Benzin,40 l
3 ajtó,Not available,150 g/km,364 l,Not available,Not available,Not available,"Csomagtérháló, Elektromos ablakemelők elöl, Fejtámlák elöl-hátul [4 db],, Fékrendszer: blokkolásgátló fékrendszer [ABS], , Fordulatszámmérő, Gyermekülés előkészítés [ISOFIX], Indításblokkolás, Információs rendszer: fedélzeti számítógép, Keréktárcsák: 15'-os, Kormánykerék: magasság-és távolságállítású, Külső visszapillantó tükrök elektromosan állíthatók és fűthetők, Légkondícionáló berendezés [AC],, Légzsák a vezető-és utasoldalon, oldallégzsákok elöl, ,, Mikrofilter [por-és pollenszűrő], , kormányoszlopról vezérelhető rádió, Sebességváltómű: 5 fokozatú mechanikus, Szélvédőüveg: speciális fényvisszaverő,, Szervokormánymű: sebességfüggő, , Színezett üvegek, Ülés alatti tárolórekeszek elöl, Ülések hátul: csúsztatható és osztottan dönthető, Változtatható belső kiegészítő elemek, Vészhárítók és külső tükrök a karosszéria színében, Világítás: ködfényszórók elöl, Ülések: állítható magasságú vezetőülés, előredönthető utasülés",Not available,Not available,185/60 R15,"13,6 s",2006-2007,Első kerék,Not available,362 kg,4 henger,Soros,1 360 cm³,3 731 mm,Not available,Kisautók,Ferdehátú,EURO 4,1 620 mm,133 Nm,"66 kW, 90 LE","5,3 l/100km",Not available,Not available,1 238 kg,Manuális (5 fokozatú) sebességváltó,4 fő,1 686 mm,2 315 mm,"6,4 l/100km","8,4 l/100km",173 km/h,1 600 kg,3 830 000 Ft,Benzin,40 l
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
3 ajtó,Not available,155 g/km,364 l,Not available,Not available,Not available,"Csomagtérháló, Easy csomag: automata klímaberendezés, esőérzékelős ablaktörlő,automata fényszóró, Elektromos ablakemelők elöl, Fejtámlák elöl-hátul [4 db],, Fékrendszer: blokkolásgátló fékrendszer [ABS], , Fordulatszámmérő, Gyermekülés előkészítés [ISOFIX], Indításblokkolás, Információs rendszer: fedélzeti számítógép, Kormánykerék: magasság-és távolságállítású, Könnyűfém keréktárcsák: 16', Krómozott kipufogócső, Külső visszapillantó tükrök elektromosan állíthatók és fűthetők, Légkondícionáló berendezés [ACC] automatikus,, Légzsák a vezető-és utasoldalon, oldallégzsákok elöl, ,, Mikrofilter [por-és pollenszűrő], , kormányoszlopról vezérelhető rádió, Szélvédőüveg: speciális fényvisszaverő,, Szervokormánymű: sebességfüggő, , Színezett üvegek, Tetőcsomagtartó sín, Ultrahangos parkolásirányító rendszer hátul, Ülés alatti tárolórekeszek elöl, Ülések hátul: csúsztatható és osztottan dönthető, Változtatható belső kiegészítő elemek, Városi csomag: tolatóradar, automatikusan behajtódóvisszapillantó tükrök, Vészhárítók és külső tükrök a karosszéria színében, Világítás: ködfényszórók elöl, Ülések: állítható magasságú vezetőülés, előredönthető utasülés, sportülések elöl",Not available,Not available,195/50 R16,"11,8 s",2005-2009,Első kerék,Not available,380 kg,4 henger,Soros,1 587 cm³,3 731 mm,Not available,Kisautók,Ferdehátú,EURO 4,1 620 mm,147 Nm,"80 kW, 109 LE","5,4 l/100km",Not available,Not available,1 216 kg,Automata (5 fokozatú tiptronic) sebességváltó,4 fő,1 686 mm,2 315 mm,"6,6 l/100km","8,6 l/100km",190 km/h,1 596 kg,4 440 000 Ft,Benzin,40 l
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2 ajtó,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,1985-1987,Első kerék,Not available,Not available,4 henger,Not available,1 397 cm³,Not available,Not available,Not available,Cabrio,Not available,Not available,Not available,"42 kW, 57 LE",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Benzin,Not available
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
3 ajtó,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,1987.,Első kerék,Not available,Not available,4 henger,Not available,1 397 cm³,Not available,Not available,Not available,Ferdehátú,Not available,Not available,Not available,"42 kW, 57 LE",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Benzin,Not available
3 ajtó,Not available,Not available,Not available,Not available,Not available,Not available,Fejtámlák [2 db],Not available,Not available,155/82 R13,Not available,1990-1991,Első kerék,Not available,420 kg,4 henger,Soros,1 085 cm³,Not available,Not available,Kisautók,Kombi,Not available,Not available,Not available,"37 kW, 50 LE",Not available,Not available,Not available,880 kg,Manuális (4 fokozatú) sebességváltó,4 fő,Not available,Not available,Not available,Not available,Not available,1 300 kg,Not available,Benzin,Not available
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
